protobuf_field_number,protobuf_field,field_status,protobuf_type,repeated,instance_fields,opcua_node_pattern,dcs_data_type,engineering_unit,data_source,control_owner
1,BoardTelemetry.operations_last_command_id,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandId,String,N/A,Production command-audit contract,Board service (shared audit)
2,BoardTelemetry.operations_last_command_name,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandName,String,N/A,Production command-audit contract,Board service (shared audit)
3,BoardTelemetry.operations_last_command_class,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandClass,String,N/A,Production command-audit contract,Board service (shared audit)
4,BoardTelemetry.operations_last_command_requester,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandRequester,String,N/A,Production command-audit contract,Board service (shared audit)
5,BoardTelemetry.operations_last_command_authority,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandAuthority,String,N/A,Production command-audit contract,Board service (shared audit)
6,BoardTelemetry.operations_last_command_route,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandRoute,String,N/A,Production command-audit contract,Board service (shared audit)
7,BoardTelemetry.operations_last_command_correlation_id,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandCorrelationId,String,N/A,Production command-audit contract,Board service (shared audit)
8,BoardTelemetry.operations_last_command_request_time,Active,DateTimeSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandRequestTime,DateTime,N/A,Production command-audit contract,Board service (shared audit)
9,BoardTelemetry.operations_last_command_completion_time,Active,DateTimeSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandCompletionTime,DateTime,N/A,Production command-audit contract,Board service (shared audit)
10,BoardTelemetry.operations_last_command_state,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandState,String,N/A,Production command-audit contract,Board service (shared audit)
11,BoardTelemetry.operations_last_command_result,Active,StringSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandResult,String,N/A,Production command-audit contract,Board service (shared audit)
12,BoardTelemetry.operations_last_command_readback_verified,Active,BooleanSample,No,,DAPHNE.Boards.{BoardId}.Operations.LastCommandReadbackVerified,Boolean,N/A,Production command-audit contract,Board service (shared audit)
